amplitude,frequency,health
0.030936291162615336,0.5249725825320286,H
0.030875454434542544,0.4775337758732984,H
0.03259861324396869,0.44252261789173153,H
0.03340757714125818,0.4077672960785816,H
0.03402909817812689,0.3949985647831927,H
0.03381370338246687,0.37077780376387737,H
0.034729542480894826,0.3518473531115983,H
0.03661548071898509,0.34668879065714375,H
0.03821696615374346,0.3425294650896048,H
0.03813804281997904,0.33166081353456334,H
0.037832214988067395,0.31400304146376495,H
0.03989408638584087,0.3095944259932669,H
0.03764641644168559,0.30251934251453716,H
0.04151201414690869,0.2847825372565926,H
0.041128907303933634,0.27803741199175686,H
0.04159258176140597,0.27321357044476996,H
0.042580767289657914,0.2771777629975527,H
0.04475609092231704,0.28140853152318823,H
0.04054520374675169,0.27021650605616515,H
0.04156627401860234,0.2710578021769226,H
0.04183921703199622,0.28957972127087955,H
0.040096327415084176,0.2947953929379448,H
0.044124704395905656,0.29713615238702834,H
0.039060458923021756,0.30842228332324667,H
0.042562680768841385,0.3105605773168031,H
0.0367930581588715,0.3259234499318781,H
0.03633431645517948,0.31483887489449053,H
0.0386346019081565,0.3319161602466819,H
0.03661876917650379,0.3502955539952906,H
0.03814461972775919,0.359363051503071,H
0.03514224561595584,0.3657794592290485,H
0.033930444017869654,0.40492832454555533,H
0.03431190672491904,0.4084349844671388,H
0.03367229902029154,0.4164882897168117,H
0.03150190816687254,0.45380577916818743,H
0.03297349887973134,0.5030833281824909,H
0.03125856124642469,0.5359897597954184,H
0.03037725100500416,0.5728621384055144,H
0.028828381164194134,0.618862510798627,H
0.02960446032304692,0.6688674035032879,H
0.03177649550200421,0.4980882544807645,H
0.03179787059457853,0.46921685564964233,H
0.033159297572834145,0.4220549180680873,H
0.03281236391293284,0.3972393490930323,H
0.03428888741392964,0.38818999856859765,H
0.035910103595231994,0.34754312688136396,H
0.03460951338881228,0.34279379906490975,H
0.03622908533438704,0.33537835716270714,H
0.036615480765280026,0.3212363125653379,H
0.039622787468932635,0.3195155808489712,H
0.03922488242042335,0.2907515870086584,H
0.04413292559205997,0.2925069243519081,H
0.040282125955338026,0.29808396288106187,H
0.043878069048279886,0.2901594108188717,H
0.04513919771427858,0.2984778962903935,H
0.04186716909709306,0.3030660842095389,H
0.03616167174943854,0.3112217901052879,H
0.03940739274406609,0.316699358969005,H
0.03375451092200639,0.34239136517843954,H
0.03426586814135528,0.35850418547211244,H
0.03897989149546095,0.2958636719277626,H
0.039751037919959445,0.2963455141159807,H
0.040466280247566315,0.29966909369760575,H
0.03818901415965953,0.2981850372955531,H
0.03888288155171091,0.31072801504338504,H
0.03773520511213962,0.3386104122201037,H
0.036335960645475326,0.3427737588417734,H
0.03412117542808792,0.349161924467692,H
0.03623072956469667,0.36750635364383827,H
0.03669769241605971,0.37288772966150296,H
0.036229085282736266,0.3996624364416649,H
0.03436452220163124,0.40645646152243475,H
0.0337528665586697,0.4640590040714601,H
0.031301311393629155,0.5046540349006576,H
0.031832399451931066,0.5114086712476245,H
0.0325936805421365,0.4697676993948988,H
0.03255586314195206,0.4367630936756581,H
0.03237828576272013,0.4002868687064865,H
0.034981110563279814,0.38785303820585065,H
0.0363787107770093,0.3619759366982097,H
0.04634113408651308,0.6579666910634557,O
0.04290303754751637,0.6007758985295482,O
0.04304444182735544,0.555227938397606,O
0.04742304114930555,0.5160321776238633,O
0.04435654179902939,0.4842333232199377,O
0.04560780505419626,0.442982344175791,O
0.05329625044356237,0.43578470151280096,O
0.04814486057852338,0.4173010912154435,O
0.0431628269169897,0.3907547393321754,O
0.05117518665067712,0.3764247966737717,O
0.05060792556533124,0.3648472390090256,O
0.049558903199352994,0.3497815056793399,O
0.04961809561758598,0.3798867715986111,O
0.04861346782227276,0.3421311829691726,O
0.04977923068734351,0.33154029396574963,O
0.048238581972397054,0.32774143314747417,O
0.05707799237690012,0.3480571962510661,O
0.05503749611121303,0.3248075302950025,O
0.05499145750775217,0.3207002569439775,O
0.05592538327617365,0.31603194987447086,O
0.05563928614912721,0.30300477481706367,O
0.059424316447739586,0.30738395463720947,O
0.06290351883407871,0.3168609724081727,O
0.05816647618089765,0.3257637517017452,O
0.053677713207678404,0.33332091164436706,O
0.049718394015826714,0.34623856647105544,O
0.04772886896905253,0.37357605871795146,O
0.04891436287133019,0.3878656603358792,O
0.04837669771798744,0.4022751819373209,O
0.04191156356634301,0.41239383955047365,O
0.04252157476925593,0.4315182089870432,O
0.04124893653534475,0.44802309193983103,O
0.04071455997021919,0.46473808653363147,O
0.035602631737263205,0.5095328538388912,O
0.03459635958512226,0.5566381260658195,O
0.0352047266543237,0.6050429454631586,O
0.03644119170368557,0.6531609698241829,O
0.03438754149890745,0.689824853873957,O
0.03138023474118383,0.720929751761907,O
0.02876425609403753,0.7879821931775143,O
0.03443522446462091,0.5120018393125156,O
0.03750501231393599,0.472954500824636,O
0.03680621204619862,0.4439843237191077,O
0.04102860908380941,0.39911327241324973,O
0.039233103884359674,0.4027244760784807,O
0.04837834192175458,0.40172230606334647,O
0.04886010304029382,0.3945084666306183,O
0.049568768575556865,0.3642267040315999,O
0.05255634452449781,0.33491967659401556,O
0.054902668696326595,0.33200765076409927,O
0.05937498934412713,0.31931080936313005,O
0.0606147428771005,0.31502461091701117,O
0.054822101211049176,0.30023984196597375,O
0.05160433206556042,0.2909324184251888,O
0.05928784480170167,0.3010902845676232,O
0.05850683312476636,0.2961186943931075,O
0.059662730458768395,0.3182096899070318,O
0.0629692881556064,0.33775372710218093,O
0.05057010793208917,0.3344045287005592,O
0.05162899572603408,0.34394702466894045,O
0.06353983785982174,0.28913019868681294,O
0.062170189721312455,0.2966610235214013,O
0.05978933682020633,0.2966815369100196,O
0.06022012624541197,0.33059012006143573,O
0.05976631740224881,0.3334993349304077,O
0.05436664774623223,0.35304127680710984,O
0.049657557161383176,0.3571408496512295,O
0.05276680647165188,0.39613060084116863,O
0.047296434959030506,0.39317762173210596,O
0.046679846599035284,0.4257408392744971,O
0.0388763046452569,0.4328526304047027,O
0.0440260502841837,0.4434246531173199,O
0.040380780240566086,0.4577225651107035,O
0.038646111645155024,0.4959544606853268,O
0.039252834567748016,0.49079964382544616,O
0.03749679106464433,0.45755500724312076,O
0.03913280539578158,0.42194805126159646,O
0.05032018422716211,0.41343420551506094,O
0.04607805635096997,0.3925467618272175,O
0.04890120884523445,0.38189468741210064,O
0.1203317336686719,0.5185865531444306,I
0.14193698903275398,0.46875291413000125,I
0.20030406247210053,0.46175331013592036,I
0.21346123511969275,0.4269209350424532,I
0.18652536768326403,0.4105623480514743,I
0.21174465298043765,0.36752291806740495,I
0.25590717554787124,0.3657954887171793,I
0.24863307616118221,0.37543798692441804,I
0.29248155120424935,0.3588365927190756,I
0.3670344817892688,0.3526315246276874,I
0.3482819744033655,0.36017588756744384,I
0.3739238267499604,0.35400956921195353,I
0.4507129174377889,0.3469212852685057,I
0.41407606215211445,0.34827972888702036,I
0.4532055771575527,0.3329191350400618,I
0.5418775656967139,0.3231584038485989,I
0.4346569591265049,0.3159722344917743,I
0.5305224636304411,0.31567807618143834,I
0.5172863795159838,0.3195083082959223,I
0.6023295315644764,0.3166566485944286,I
0.557839795958377,0.32164957560293284,I
0.48562169012534856,0.3253129203168146,I
0.4955446449125589,0.338117931647644,I
0.421565554962391,0.3610963804267343,I
0.4859883487898031,0.356570424051913,I
0.407119301968381,0.3751565535222213,I
0.3826316994097264,0.375547285116027,I
0.36521266711182304,0.3740951281645497,I
0.4135795025276714,0.394081045595339,I
0.2990091680450948,0.40035232754477257,I
0.2744097574281573,0.41658494346183517,I
